,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
   Electric [mile/kWh],3.560,3.560,3.560,3.560,3.560,3.560,3.560,3.560,3.560,3.560,3.560,3.560,3.560,3.560,3.560,3.560,3.560,3.560,3.560,3.560,3.560,3.560,3.560,3.560,3.560,3.560,3.560,3.560,3.560,
   Hydrogen [mile/kg],69.041,69.041,69.041,69.041,69.041,69.041,69.041,69.041,69.041,69.041,69.041,69.041,69.041,69.041,69.041,69.041,69.041,69.041,69.041,69.041,69.041,69.041,69.041,69.041,69.041,69.041,69.041,69.041,69.041,
Bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel [MPL],1.553,1.553,1.553,1.553,1.553,1.553,1.553,1.553,1.553,1.553,1.553,1.553,1.553,1.553,1.553,1.553,1.553,1.553,1.553,1.553,1.553,1.553,1.553,1.553,1.553,1.553,1.553,1.553,1.553,
   Petrol [MPL],1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,1.243,
   HEV [MPL],1.838,1.838,1.838,1.838,1.838,1.838,1.838,1.838,1.838,1.838,1.838,1.838,1.838,1.838,1.838,1.838,1.838,1.838,1.838,1.838,1.838,1.838,1.838,1.838,1.838,1.838,1.838,1.838,1.838,
   Other fuel [MPL],1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,1.479,
   Electric [mile/kWh],0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,
   Hydrogen [mile/kg],10.186,10.186,10.186,10.186,10.186,10.186,10.186,10.186,10.186,10.186,10.186,10.186,10.186,10.186,10.186,10.186,10.186,10.186,10.186,10.186,10.186,10.186,10.186,10.186,10.186,10.186,10.186,10.186,10.186,
HGV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel [MPL],2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,
   Petrol [MPL],2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,
   HEV [MPL],2.530,2.530,2.530,2.530,2.530,2.530,2.530,2.530,2.530,2.530,2.530,2.530,2.530,2.530,2.530,2.530,2.530,2.530,2.530,2.530,2.530,2.530,2.530,2.530,2.530,2.530,2.530,2.530,2.530,
   Other fuel [MPL],6.357,6.357,6.357,6.357,6.357,6.357,6.357,6.357,6.357,6.357,6.357,6.357,6.357,6.357,6.357,6.357,6.357,6.357,6.357,6.357,6.357,6.357,6.357,6.357,6.357,6.357,6.357,6.357,6.357,
   Electric [mile/kWh],0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,
   Hydrogen [mile/kg],6.904,6.904,6.904,6.904,6.904,6.904,6.904,6.904,6.904,6.904,6.904,6.904,6.904,6.904,6.904,6.904,6.904,6.904,6.904,6.904,6.904,6.904,6.904,6.904,6.904,6.904,6.904,6.904,6.904,
LDV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel [MPL],8.887,8.887,8.887,8.887,8.887,8.887,8.887,8.887,8.887,8.887,8.887,8.887,8.887,8.887,8.887,8.887,8.887,8.887,8.887,8.887,8.887,8.887,8.887,8.887,8.887,8.887,8.887,8.887,8.887,
   Petrol [MPL],9.701,9.701,9.701,9.701,9.701,9.701,9.701,9.701,9.701,9.701,9.701,9.701,9.701,9.701,9.701,9.701,9.701,9.701,9.701,9.701,9.701,9.701,9.701,9.701,9.701,9.701,9.701,9.701,9.701,
   HEV [MPL],10.999,10.999,10.999,10.999,10.999,10.999,10.999,10.999,10.999,10.999,10.999,10.999,10.999,10.999,10.999,10.999,10.999,10.999,10.999,10.999,10.999,10.999,10.999,10.999,10.999,10.999,10.999,10.999,10.999,
   Other fuel [MPL],6.599,6.599,6.599,6.599,6.599,6.599,6.599,6.599,6.599,6.599,6.599,6.599,6.599,6.599,6.599,6.599,6.599,6.599,6.599,6.599,6.599,6.599,6.599,6.599,6.599,6.599,6.599,6.599,6.599,
   Electric [mile/kWh],3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,
   Hydrogen [mile/kg],31.069,31.069,31.069,31.069,31.069,31.069,31.069,31.069,31.069,31.069,31.069,31.069,31.069,31.069,31.069,31.069,31.069,31.069,31.069,31.069,31.069,31.069,31.069,31.069,31.069,31.069,31.069,31.069,31.069,
Motorbike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel [MPL],13.198,13.198,13.198,13.198,13.198,13.198,13.198,13.198,13.198,13.198,13.198,13.198,13.198,13.198,13.198,13.198,13.198,13.198,13.198,13.198,13.198,13.198,13.198,13.198,13.198,13.198,13.198,13.198,13.198,
   Petrol [MPL],12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,
   HEV [MPL],14.122,14.122,14.122,14.122,14.122,14.122,14.122,14.122,14.122,14.122,14.122,14.122,14.122,14.122,14.122,14.122,14.122,14.122,14.122,14.122,14.122,14.122,14.122,14.122,14.122,14.122,14.122,14.122,14.122,
   Other fuel [MPL],12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,12.473,
   Electric [mile/kWh],10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,
   Hydrogen [mile/kg],310.686,310.686,310.686,310.686,310.686,310.686,310.686,310.686,310.686,310.686,310.686,310.686,310.686,310.686,310.686,310.686,310.686,310.686,310.686,310.686,310.686,310.686,310.686,310.686,310.686,310.686,310.686,310.686,310.686,
Fuel cost - assumed same costs for all travel modes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car fuel cost ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel [£/L],1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,
   Petrol [£/L],1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,
   HEV [£/L],1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,
   Other fuel [£/L],1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,
   Electric [£/kWh],0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,
   Hydrogen [£/kg],5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,
Bus fuel cost [£/mile],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel [£/L],1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,
   Petrol [£/L],1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,
   HEV [£/L],1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,
   Other fuel [£/L],1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,
   Electric [£/kWh],0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,
   Hydrogen [£/kg],5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,
HGV fuel cost [£/mile],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel [£/L],1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,
   Petrol [£/L],1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,
   HEV [£/L],1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,
   Other fuel [£/L],1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,
   Electric [£/kWh],0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,
   Hydrogen [£/kg],5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,
LDV fuel cost [£/mile],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel [£/L],1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,
   Petrol [£/L],1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,
   HEV [£/L],1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,
   Other fuel [£/L],1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,
   Electric [£/kWh],0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,
   Hydrogen [£/kg],5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,
Motorbike fuel cost [£/mile],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel [£/L],1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,1.490,
   Petrol [£/L],1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,
   HEV [£/L],1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,1.430,
   Other fuel [£/L],1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,1.200,
   Electric [£/kWh],0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,
   Hydrogen [£/kg],5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,5.130,
Specific fuel cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car fuel cost [£/mile],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,
   Petrol,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,0.163,
   HEV,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,
   Other fuel,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,0.198,
   Electric,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,
   Hydrogen,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,
Bus fuel cost [£/mile],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,
   Petrol,1.151,1.151,1.151,1.151,1.151,1.151,1.151,1.151,1.151,1.151,1.151,1.151,1.151,1.151,1.151,1.151,1.151,1.151,1.151,1.151,1.151,1.151,1.151,1.151,1.151,1.151,1.151,1.151,1.151,
   HEV,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,
   Other fuel,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,
   Electric,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,
   Hydrogen,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,
HGV fuel cost [£/mile],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,
   Petrol,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707,
   HEV,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,
   Other fuel,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,0.189,
   Electric,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,
   Hydrogen,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,0.743,
LDV fuel cost [£/mile],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,0.168,
   Petrol,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,
   HEV,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,
   Other fuel,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,0.182,
   Electric,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,
   Hydrogen,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,
Motorbike fuel cost [£/mile],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,
   Petrol,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,
   HEV,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,
   Other fuel,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,
   Electric,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,
   Hydrogen,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,
