,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
Car,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,
Bus,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,
HGV,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,
LDV,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,
Motorcycle,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
Car milage [Mmiles/year],1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,1865.300,
   Diesel,712.320,717.901,723.483,729.064,734.645,740.227,745.808,751.390,756.971,762.553,768.134,773.715,779.297,779.297,779.297,779.297,779.297,779.297,744.252,673.557,602.863,532.168,461.473,390.778,320.083,249.388,178.693,107.998,37.304,
   Petrol,1036.468,1022.981,965.358,907.734,850.111,792.488,734.864,677.241,619.618,561.995,504.371,446.748,389.125,318.430,247.735,177.040,106.345,35.650,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   HEV,72.376,99.050,125.724,152.397,179.071,205.745,232.419,259.093,285.766,312.440,339.114,365.788,392.462,419.135,445.809,472.483,499.157,525.830,552.504,579.178,605.852,632.526,659.199,685.873,712.547,739.221,765.895,792.568,819.242,
   Other fuel,44.137,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
   Electric,0.000,25.368,50.736,76.104,101.472,126.840,152.208,177.577,202.945,228.313,253.681,279.049,304.417,329.785,355.153,380.521,405.889,431.257,456.625,481.994,507.362,532.730,558.098,583.466,608.834,634.202,659.570,684.938,710.306,
   Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.653,37.306,55.959,74.612,93.265,111.918,130.571,149.224,167.877,186.530,205.183,223.836,242.489,261.142,279.795,298.448,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technology ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car annual change [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Diesel,,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.000,0.000,0.000,0.000,0.000,-1.879,-3.790,-3.790,-3.790,-3.790,-3.790,-3.790,-3.790,-3.790,-3.790,-3.790,
   Petrol,,-0.723,-3.089,-3.089,-3.089,-3.089,-3.089,-3.089,-3.089,-3.089,-3.089,-3.089,-3.089,-3.790,-3.790,-3.790,-3.790,-3.790,-1.911,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
